ITEM_PK,ITEM_TYPE,ITEM_NAME,MAIN_EFFECT,SUB_EFFECT,EQUIPABLE_SLOT,CREATE_METHOD,CREATE_DATETIME,UPDATE_METHOD,UPDATE_DATETIME
10049,2,ITEM0001,MP,,2,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
10050,3,ITEM0002,MP,MP,3,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
10051,4,ITEM0003,SP,,4,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
10052,5,ITEM0004,SP,SP,5,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
10053,6,ITEM0005,STR,,6,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
10054,7,ITEM0006,STR,STR,1,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
10055,8,ITEM0007,VIT,,2,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
10056,1,ITEM0008,HP,HP,3,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
10057,2,ITEM0009,MP,,4,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
11567,3,ITEM0010,MP,MP,5,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
11568,4,ITEM0011,SP,,6,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
11569,5,ITEM0012,SP,SP,1,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
