CHARACTER_PK,STATUS_TYPE,VALUE,CREATE_METHOD,CREATE_DATETIME,UPDATE_METHOD,UPDATE_DATETIME
77211,HP,0,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77211,MP,1,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77211,SP,2,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77211,STR,3,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77211,VIT,4,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77211,DEX,5,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77211,AGI,6,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77211,INT,7,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77211,WIS,8,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77211,FTN,9,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77212,HP,100,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77212,MP,101,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77212,SP,102,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77212,STR,103,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77212,VIT,104,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77212,DEX,105,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77212,AGI,106,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77212,INT,107,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77212,WIS,108,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77212,FTN,109,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77213,HP,200,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77213,MP,201,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77213,SP,202,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77213,STR,203,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77213,VIT,204,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77213,DEX,205,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77213,AGI,206,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77213,INT,207,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77213,WIS,208,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77213,FTN,209,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77214,HP,300,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77214,MP,301,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77214,SP,302,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77214,STR,303,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77214,VIT,304,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77214,DEX,305,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
