ITEM_PK,ITEM_TYPE,ITEM_NAME,MAIN_EFFECT,SUB_EFFECT,EQUIPABLE_SLOT,CREATE_METHOD,CREATE_DATETIME,UPDATE_METHOD,UPDATE_DATETIME
10049,2,ITEM0001,MP,,2,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
10050,3,ITEM0002,MP,MP,3,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
10051,4,ITEM0003,SP,,4,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
10052,5,ITEM0004,SP,SP,5,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
10053,6,ITEM0005,STR,,6,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
10054,7,ITEM0006,STR,STR,1,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
10055,8,ITEM0007,VIT,,2,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
10056,1,ITEM0008,HP,HP,3,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
10057,2,ITEM0009,MP,,4,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
11567,3,ITEM0010,MP,MP,5,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
11568,4,ITEM0011,SP,,6,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
11569,5,ITEM0012,SP,SP,1,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
11570,6,ITEM0013,STR,,2,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
11571,7,ITEM0014,STR,STR,3,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
11572,8,ITEM0015,VIT,,4,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
11573,1,ITEM0016,HP,HP,5,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
11574,2,ITEM0017,MP,,6,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
11575,3,ITEM0018,MP,MP,1,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
11576,4,ITEM0019,SP,,2,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
11598,5,ITEM0020,SP,SP,3,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
11599,6,ITEM0021,STR,,4,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
11600,7,ITEM0022,STR,STR,5,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
11601,8,ITEM0023,VIT,,6,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
11602,1,ITEM0024,HP,HP,1,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
11603,2,ITEM0025,MP,,2,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
11604,3,ITEM0026,MP,MP,3,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
11605,4,ITEM0027,SP,,4,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
11606,5,ITEM0028,SP,SP,5,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
11607,6,ITEM0029,STR,,6,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
11629,7,ITEM0030,STR,STR,1,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
11630,8,ITEM0031,VIT,,2,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
11631,1,ITEM0032,HP,HP,3,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
11632,2,ITEM0033,MP,,4,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
11633,3,ITEM0034,MP,MP,5,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
11634,4,ITEM0035,SP,,6,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
11635,5,ITEM0036,SP,SP,1,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
11636,6,ITEM0037,STR,,2,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
11637,7,ITEM0038,STR,STR,3,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
11638,8,ITEM0039,VIT,,4,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
11660,1,ITEM0040,HP,HP,5,step03,2026-07-15T22:18:56.509,step03,2026-07-15T22:18:56.509
