CHARACTER_PK,MAGIC_TYPE_MASTERY,MASTERY,CREATE_METHOD,CREATE_DATETIME,UPDATE_METHOD,UPDATE_DATETIME
77211,0,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77212,1,2,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77213,2,3,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77214,3,4,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77242,4,5,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77243,5,6,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77244,6,7,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77245,7,8,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77273,8,9,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77274,1,10,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77275,2,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77276,3,2,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77304,4,3,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77305,5,4,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77306,6,5,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77307,7,6,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77335,8,7,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77336,1,8,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77337,2,9,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77338,3,10,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77366,4,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77367,5,2,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77368,6,3,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77369,7,4,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77397,8,5,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77398,1,6,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77399,2,7,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77400,3,8,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77428,4,9,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77429,5,10,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77430,6,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77431,7,2,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77459,8,3,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77460,1,4,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77461,2,5,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77462,3,6,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
78141,4,7,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
78142,5,8,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
78143,6,9,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
78144,7,10,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
9401,1,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
9402,2,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
9403,3,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
9404,4,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
