CHARACTER_PK,USER_ID,CHARACTER_NO,CHARACTER_NAME,CREATE_METHOD,CREATE_DATETIME,UPDATE_METHOD,UPDATE_DATETIME
77211,U0001,1,CHAR0001-1,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
77212,U0001,2,CHAR0001-2,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
77213,U0001,3,CHAR0001-3,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
77214,U0001,4,CHAR0001-4,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
77242,U0002,1,CHAR0002-1,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
77243,U0002,2,CHAR0002-2,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
77244,U0002,3,CHAR0002-3,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
77245,U0002,4,CHAR0002-4,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
77273,U0003,1,CHAR0003-1,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
77274,U0003,2,CHAR0003-2,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
77275,U0003,3,CHAR0003-3,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
77276,U0003,4,CHAR0003-4,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
77304,U0004,1,CHAR0004-1,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
77305,U0004,2,CHAR0004-2,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
77306,U0004,3,CHAR0004-3,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
77307,U0004,4,CHAR0004-4,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
77335,U0005,1,CHAR0005-1,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
77336,U0005,2,CHAR0005-2,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
77337,U0005,3,CHAR0005-3,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
77338,U0005,4,CHAR0005-4,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
77366,U0006,1,CHAR0006-1,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
77367,U0006,2,CHAR0006-2,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
77368,U0006,3,CHAR0006-3,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
77369,U0006,4,CHAR0006-4,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
77397,U0007,1,CHAR0007-1,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
77398,U0007,2,CHAR0007-2,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
77399,U0007,3,CHAR0007-3,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
77400,U0007,4,CHAR0007-4,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
77428,U0008,1,CHAR0008-1,ANDROID_TEST_SEED,2026-06-25 11:11:34,ANDROID_TEST_SEED,2026-06-25 11:11:34
