CHARACTER_PK,WEAPON_TYPE_ID,MASTERY,CREATE_METHOD,CREATE_DATETIME,UPDATE_METHOD,UPDATE_DATETIME
77211,0,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
77212,1,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
77213,2,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
77214,3,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
77242,4,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
77243,5,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
77244,6,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
77245,7,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
77273,8,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
77274,1,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
77275,2,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
77276,3,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
77304,4,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
77305,5,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
77306,6,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
77307,7,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
77335,8,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
77336,1,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
77337,2,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
77338,3,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
77366,4,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
77367,5,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
77368,6,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
77369,7,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
77397,8,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
77398,1,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
77399,2,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
77400,3,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
77428,4,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
77429,5,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
77430,6,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
77431,7,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
77459,8,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
77460,1,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
77461,2,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
77462,3,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
78141,4,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
78142,5,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
78143,6,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
78144,7,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
9301,1,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
9302,2,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
9303,3,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
9304,4,1,ANDROID_TEST_SEED,2026-06-25 11:11:35,ANDROID_TEST_SEED,2026-06-25 11:11:35
