CHARACTER_PK,EQUIP_SLOT,ITEM_PK,CREATE_METHOD,CREATE_DATETIME,UPDATE_METHOD,UPDATE_DATETIME
77211,1,10049,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77211,2,11567,step03,2026-07-15T22:18:56.960,step05,2026-07-15T22:18:58.892
77211,3,10051,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77211,4,10052,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77211,5,10053,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77211,6,10054,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77212,1,10049,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77212,2,11567,step03,2026-07-15T22:18:56.960,step05,2026-07-15T22:18:58.892
77212,3,10051,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77212,4,10052,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77212,5,10053,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77212,6,10054,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77213,1,10049,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77213,2,11567,step03,2026-07-15T22:18:56.960,step05,2026-07-15T22:18:58.892
77213,3,10051,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77213,4,10052,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77213,5,10053,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77213,6,10054,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77214,1,10049,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77214,2,11567,step03,2026-07-15T22:18:56.960,step05,2026-07-15T22:18:58.892
77214,3,10051,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77214,4,10052,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77214,5,10053,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77214,6,10054,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77242,1,10049,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77242,2,11567,step03,2026-07-15T22:18:56.960,step05,2026-07-15T22:18:58.892
77242,3,10051,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77242,4,10052,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77242,5,10053,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77242,6,10054,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77243,1,10049,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77243,2,11567,step03,2026-07-15T22:18:56.960,step05,2026-07-15T22:18:58.892
77243,3,10051,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77243,4,10052,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77243,5,10053,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77243,6,10054,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77244,1,10049,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77244,2,11567,step03,2026-07-15T22:18:56.960,step05,2026-07-15T22:18:58.892
77244,3,10051,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77244,4,10052,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77244,5,10053,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77244,6,10054,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77245,1,10049,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77245,2,11567,step03,2026-07-15T22:18:56.960,step05,2026-07-15T22:18:58.892
77245,3,10051,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77245,4,10052,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77245,5,10053,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77245,6,10054,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77273,1,10049,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77273,2,11567,step03,2026-07-15T22:18:56.960,step05,2026-07-15T22:18:58.892
77273,3,10051,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77273,4,10052,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77273,5,10053,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77273,6,10054,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77274,1,10049,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77274,2,11567,step03,2026-07-15T22:18:56.960,step05,2026-07-15T22:18:58.892
77274,3,10051,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77274,4,10052,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77274,5,10053,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77274,6,10054,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
77275,1,10049,step03,2026-07-15T22:18:56.960,step03,2026-07-15T22:18:56.960
