MAGIC_ID,MAGIC_TYPE_ID,MAGIC_NAME,MAIN_EFFECT,SUB_EFFECT,CREATE_METHOD,CREATE_DATETIME,UPDATE_METHOD,UPDATE_DATETIME
13516,1,MAGIC003-1,earth,,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
13547,2,MAGIC003-2,earth,MP,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
13578,3,MAGIC003-3,nihil,all status,ANDROID_TEST_SEED,2026-06-28 04:08:23,updatedSeedData,2026-06-29T13:08:25.480
13609,4,MAGIC003-4,earth,SP,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
13640,5,MAGIC003-5,nihil,all status,ANDROID_TEST_SEED,2026-06-28 04:08:23,updatedSeedData,2026-06-29T13:08:25.480
13671,6,MAGIC003-6,earth,STR,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
13702,7,MAGIC003-7,earth,,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
13733,8,MAGIC003-8,earth,VIT,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
13764,9,MAGIC003-9,earth,,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
19173,10,MAGIC004-10,thunderbolt,DEX,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
19204,11,MAGIC004-11,thunderbolt,,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
19235,0,MAGIC004-12,thunderbolt,AGI,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
19266,1,MAGIC004-13,thunderbolt,,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
19297,2,MAGIC004-14,thunderbolt,INT,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
19328,3,MAGIC004-15,nihil,all status,ANDROID_TEST_SEED,2026-06-28 04:08:23,updatedSeedData,2026-06-29T13:08:25.480
19359,4,MAGIC004-16,thunderbolt,WIS,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
19390,5,MAGIC004-17,nihil,all status,ANDROID_TEST_SEED,2026-06-28 04:08:23,updatedSeedData,2026-06-29T13:08:25.480
19421,6,MAGIC004-18,thunderbolt,FTN,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
19452,7,MAGIC004-19,thunderbolt,,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
20134,8,MAGIC004-20,thunderbolt,HP,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
20165,9,MAGIC004-21,thunderbolt,,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
20196,10,MAGIC004-22,thunderbolt,MP,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
20227,11,MAGIC004-23,thunderbolt,,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
20258,0,MAGIC004-24,thunderbolt,SP,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
20289,1,MAGIC004-25,thunderbolt,,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
20320,2,MAGIC004-26,thunderbolt,STR,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
20351,3,MAGIC004-27,nihil,all status,ANDROID_TEST_SEED,2026-06-28 04:08:23,updatedSeedData,2026-06-29T13:08:25.480
20382,4,MAGIC004-28,thunderbolt,VIT,ANDROID_TEST_SEED,2026-06-28 04:08:23,ANDROID_TEST_SEED,2026-06-28 04:08:23
20413,5,MAGIC004-29,nihil,all status,ANDROID_TEST_SEED,2026-06-28 04:08:23,updatedSeedData,2026-06-29T13:08:25.480
