CSI_N.characterPk,CSI_N.characterName,CE_B.characterPk,CE_B.equipSlot,CE_B.itemPk,CP_B.characterPk,CP_B.itemPk,CP_B.itemStatus
77211,CHAR0001-1,77211,1,10049,77211,10049,HOLD
77211,CHAR0001-1,77211,3,10051,77211,10051,HOLD
77211,CHAR0001-1,77211,4,10052,77211,10052,HOLD
77211,CHAR0001-1,77211,5,10053,77211,10053,HOLD
77211,CHAR0001-1,77211,6,10054,77211,10054,HOLD
77211,CHAR0001-1,77211,2,11567,77211,11567,HOLD
77273,CHAR0003-1,77273,1,10049,77273,10049,HOLD
77273,CHAR0003-1,77273,3,10051,77273,10051,HOLD
77273,CHAR0003-1,77273,4,10052,77273,10052,HOLD
77273,CHAR0003-1,77273,5,10053,77273,10053,HOLD
77273,CHAR0003-1,77273,6,10054,77273,10054,HOLD
77273,CHAR0003-1,77273,2,11567,77273,11567,HOLD
77274,CHAR0003-2,77274,1,10049,77274,10049,HOLD
77274,CHAR0003-2,77274,3,10051,77274,10051,HOLD
77274,CHAR0003-2,77274,4,10052,77274,10052,HOLD
77274,CHAR0003-2,77274,5,10053,77274,10053,HOLD
77274,CHAR0003-2,77274,6,10054,77274,10054,HOLD
77274,CHAR0003-2,77274,8,10060,,,
77274,CHAR0003-2,77274,2,11567,77274,11567,HOLD
77274,CHAR0003-2,77274,7,,,,
77399,CHAR0007-3,77399,1,10049,77399,10049,HOLD
77399,CHAR0007-3,77399,2,10050,77399,10050,HOLD
77399,CHAR0007-3,77399,3,10051,77399,10051,HOLD
77399,CHAR0007-3,77399,4,10052,77399,10052,HOLD
77399,CHAR0007-3,77399,5,10053,77399,10053,HOLD
77399,CHAR0007-3,77399,6,10054,77399,10054,HOLD
78144,CHAR0010-4,78144,1,10049,78144,10049,HOLD
78144,CHAR0010-4,78144,2,10050,78144,10050,HOLD
78144,CHAR0010-4,78144,3,10051,78144,10051,HOLD
78144,CHAR0010-4,78144,4,10052,78144,10052,HOLD
78144,CHAR0010-4,78144,5,10053,78144,10053,HOLD
78144,CHAR0010-4,78144,6,10054,78144,10054,HOLD
