CSP_B.characterPk,CSP_B.magicId,SM_B.magicId,SM_B.magicTypeId,SM_B.magicName,SM_B.mainEffect,SM_B.subEffect
9502,2,,,,,
77211,13516,13516,1,MAGIC003-1,earth,
77211,19204,19204,11,MAGIC004-11,thunderbolt,
77211,20165,20165,9,MAGIC004-21,thunderbolt,
77211,21126,21126,7,MAGIC004-31,thunderbolt,
77211,22037,22037,11,MAGIC005-11,light,
77211,22998,22998,9,MAGIC005-21,light,
77211,23959,23959,7,MAGIC005-31,light,
77211,36890,36890,1,MAGIC005-1,light,
77211,37574,37574,11,MAGIC006-11,dark,
77211,38535,38535,9,MAGIC006-21,dark,
77211,39496,39496,7,MAGIC006-31,dark,
77211,48624,48624,11,MAGIC000-11,frame,
77211,49585,49585,9,MAGIC000-21,frame,
77211,50546,50546,7,MAGIC000-31,frame,
77211,53181,53181,1,MAGIC002-1,wind,
77211,57695,57695,1,MAGIC000-1,frame,
77211,63851,63851,1,MAGIC004-1,thunderbolt,
77211,75297,75297,11,MAGIC001-11,water,
77211,76258,76258,9,MAGIC001-21,water,
77211,77219,77219,7,MAGIC001-31,water,
77211,80142,80142,1,MAGIC001-1,water,
77211,87225,87225,1,MAGIC006-1,dark,
77211,90834,90834,11,MAGIC002-11,wind,
77211,91795,91795,9,MAGIC002-21,wind,
77211,92756,92756,7,MAGIC002-31,wind,
77211,93667,93667,11,MAGIC003-11,earth,
77211,94628,94628,9,MAGIC003-21,earth,
77211,95589,95589,7,MAGIC003-31,earth,
77273,13764,13764,9,MAGIC003-9,earth,
77273,19452,19452,7,MAGIC004-19,thunderbolt,
77273,20413,20413,5,MAGIC004-29,nihil,all status
77273,21374,21374,3,MAGIC004-39,nihil,all status
77273,22285,22285,7,MAGIC005-19,light,
77273,23246,23246,5,MAGIC005-29,nihil,all status
77273,24207,24207,3,MAGIC005-39,nihil,all status
77273,37138,37138,9,MAGIC005-9,light,
77273,37822,37822,7,MAGIC006-19,dark,
77273,38783,38783,5,MAGIC006-29,nihil,all status
77273,39744,39744,3,MAGIC006-39,nihil,all status
77273,48872,48872,7,MAGIC000-19,frame,
77273,49833,49833,5,MAGIC000-29,nihil,all status
