CHARACTER_PK,STATUS_TYPE,VALUE,CREATE_METHOD,CREATE_DATETIME,UPDATE_METHOD,UPDATE_DATETIME
77211,HP,0,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77211,MP,1,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77211,SP,2,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77211,STR,13,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77211,VIT,7,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77211,DEX,5,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77211,AGI,6,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77211,INT,12,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77211,WIS,8,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77211,FTN,9,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77212,HP,100,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77212,MP,101,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77212,SP,102,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77212,STR,113,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77212,VIT,107,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77212,DEX,105,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77212,AGI,106,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77212,INT,112,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77212,WIS,108,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77212,FTN,109,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77213,HP,200,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77213,MP,201,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77213,SP,202,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77213,STR,213,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77213,VIT,207,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77213,DEX,205,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77213,AGI,206,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77213,INT,212,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77213,WIS,208,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77213,FTN,209,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77214,HP,300,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77214,MP,301,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77214,SP,302,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77214,STR,313,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77214,VIT,307,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77214,DEX,305,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77214,AGI,306,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77214,INT,312,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77214,WIS,308,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77214,FTN,309,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77242,HP,400,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77242,MP,401,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77242,SP,402,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77242,STR,413,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77242,VIT,407,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77242,DEX,405,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77242,AGI,406,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77242,INT,412,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77242,WIS,408,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77242,FTN,409,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77243,HP,500,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77243,MP,501,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77243,SP,502,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77243,STR,513,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77243,VIT,507,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77243,DEX,505,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77243,AGI,506,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77243,INT,512,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77243,WIS,508,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77243,FTN,509,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77244,HP,600,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77244,MP,601,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77244,SP,602,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77244,STR,613,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77244,VIT,607,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77244,DEX,605,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77244,AGI,606,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77244,INT,612,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77244,WIS,608,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77244,FTN,609,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77245,HP,700,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77245,MP,701,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77245,SP,702,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77245,STR,713,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77245,VIT,707,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77245,DEX,705,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77245,AGI,706,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77245,INT,712,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77245,WIS,708,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77245,FTN,709,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77273,HP,800,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77273,MP,801,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77273,SP,802,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77273,STR,813,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77273,VIT,807,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77273,DEX,805,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77273,AGI,806,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77273,INT,812,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77273,WIS,808,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77273,FTN,809,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77274,HP,900,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77274,MP,901,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77274,SP,902,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77274,STR,913,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77274,VIT,907,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77274,DEX,905,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77274,AGI,906,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77274,INT,912,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77274,WIS,908,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77274,FTN,909,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77275,HP,1000,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77275,MP,1001,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77275,SP,1002,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77275,STR,1013,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77275,VIT,1007,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77275,DEX,1005,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77275,AGI,1006,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77275,INT,1012,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77275,WIS,1008,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77275,FTN,1009,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77276,HP,1100,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77276,MP,1101,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77276,SP,1102,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77276,STR,1113,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77276,VIT,1107,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77276,DEX,1105,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77276,AGI,1106,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77276,INT,1112,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77276,WIS,1108,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77276,FTN,1109,step03,2026-07-15T22:18:56.699,step03,2026-07-15T22:18:56.699
77304,HP,1200,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77304,MP,1201,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77304,SP,1202,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77304,STR,1213,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77304,VIT,1207,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
