MAGIC_ID,MAGIC_TYPE_ID,MAGIC_NAME,MAIN_EFFECT,SUB_EFFECT,CREATE_METHOD,CREATE_DATETIME,UPDATE_METHOD,UPDATE_DATETIME
13516,1,MAGIC003-1,earth,,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
13547,2,MAGIC003-2,earth,MP,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
13578,3,MAGIC003-3,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
13609,4,MAGIC003-4,earth,SP,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
13640,5,MAGIC003-5,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
13671,6,MAGIC003-6,earth,STR,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
13702,7,MAGIC003-7,earth,,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
13733,8,MAGIC003-8,earth,VIT,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
13764,9,MAGIC003-9,earth,,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
19173,10,MAGIC004-10,thunderbolt,DEX,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
19204,11,MAGIC004-11,thunderbolt,,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
19235,0,MAGIC004-12,thunderbolt,AGI,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
19266,1,MAGIC004-13,thunderbolt,,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
19297,2,MAGIC004-14,thunderbolt,INT,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
19328,3,MAGIC004-15,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
19359,4,MAGIC004-16,thunderbolt,WIS,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
19390,5,MAGIC004-17,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
19421,6,MAGIC004-18,thunderbolt,FTN,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
19452,7,MAGIC004-19,thunderbolt,,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
20134,8,MAGIC004-20,thunderbolt,HP,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
20165,9,MAGIC004-21,thunderbolt,,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
20196,10,MAGIC004-22,thunderbolt,MP,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
20227,11,MAGIC004-23,thunderbolt,,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
20258,0,MAGIC004-24,thunderbolt,SP,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
20289,1,MAGIC004-25,thunderbolt,,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
20320,2,MAGIC004-26,thunderbolt,STR,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
20351,3,MAGIC004-27,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
20382,4,MAGIC004-28,thunderbolt,VIT,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
20413,5,MAGIC004-29,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
21095,6,MAGIC004-30,thunderbolt,DEX,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
21126,7,MAGIC004-31,thunderbolt,,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
21157,8,MAGIC004-32,thunderbolt,AGI,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
21188,9,MAGIC004-33,thunderbolt,,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
21219,10,MAGIC004-34,thunderbolt,INT,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
21250,11,MAGIC004-35,thunderbolt,,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
21281,0,MAGIC004-36,thunderbolt,WIS,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
21312,1,MAGIC004-37,thunderbolt,,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
21343,2,MAGIC004-38,thunderbolt,FTN,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
21374,3,MAGIC004-39,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
22006,10,MAGIC005-10,light,DEX,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
22037,11,MAGIC005-11,light,,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
22056,4,MAGIC004-40,thunderbolt,HP,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
22068,0,MAGIC005-12,light,AGI,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
22099,1,MAGIC005-13,light,,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
22130,2,MAGIC005-14,light,INT,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
22161,3,MAGIC005-15,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
22192,4,MAGIC005-16,light,WIS,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
22223,5,MAGIC005-17,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
22254,6,MAGIC005-18,light,FTN,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
22285,7,MAGIC005-19,light,,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
22967,8,MAGIC005-20,light,HP,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
22998,9,MAGIC005-21,light,,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
23029,10,MAGIC005-22,light,MP,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
23060,11,MAGIC005-23,light,,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
23091,0,MAGIC005-24,light,SP,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
23122,1,MAGIC005-25,light,,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
23153,2,MAGIC005-26,light,STR,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
23184,3,MAGIC005-27,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
23215,4,MAGIC005-28,light,VIT,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
23246,5,MAGIC005-29,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
23928,6,MAGIC005-30,light,DEX,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
23959,7,MAGIC005-31,light,,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
23990,8,MAGIC005-32,light,AGI,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
24021,9,MAGIC005-33,light,,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
24052,10,MAGIC005-34,light,INT,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
24083,11,MAGIC005-35,light,,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
24114,0,MAGIC005-36,light,WIS,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
24145,1,MAGIC005-37,light,,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
24176,2,MAGIC005-38,light,FTN,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
24207,3,MAGIC005-39,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
24889,4,MAGIC005-40,light,HP,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
36890,1,MAGIC005-1,light,,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
36921,2,MAGIC005-2,light,MP,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
36952,3,MAGIC005-3,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
36983,4,MAGIC005-4,light,SP,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
37014,5,MAGIC005-5,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
37045,6,MAGIC005-6,light,STR,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
37076,7,MAGIC005-7,light,,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
37107,8,MAGIC005-8,light,VIT,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
37138,9,MAGIC005-9,light,,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
37543,10,MAGIC006-10,dark,DEX,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
37574,11,MAGIC006-11,dark,,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
37605,0,MAGIC006-12,dark,AGI,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
37636,1,MAGIC006-13,dark,,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
37667,2,MAGIC006-14,dark,INT,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
37698,3,MAGIC006-15,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
37729,4,MAGIC006-16,dark,WIS,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
37760,5,MAGIC006-17,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
37791,6,MAGIC006-18,dark,FTN,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
37822,7,MAGIC006-19,dark,,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
38504,8,MAGIC006-20,dark,HP,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
38535,9,MAGIC006-21,dark,,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
38566,10,MAGIC006-22,dark,MP,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
38597,11,MAGIC006-23,dark,,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
38628,0,MAGIC006-24,dark,SP,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
38659,1,MAGIC006-25,dark,,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
38690,2,MAGIC006-26,dark,STR,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
38721,3,MAGIC006-27,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
38752,4,MAGIC006-28,dark,VIT,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
38783,5,MAGIC006-29,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
39465,6,MAGIC006-30,dark,DEX,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
39496,7,MAGIC006-31,dark,,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
39527,8,MAGIC006-32,dark,AGI,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
39558,9,MAGIC006-33,dark,,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
39589,10,MAGIC006-34,dark,INT,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
39620,11,MAGIC006-35,dark,,step03,2026-07-15T22:18:56.620,step03,2026-07-15T22:18:56.620
