CHARACTER_PK,EQUIP_SLOT,ITEM_PK,CREATE_METHOD,CREATE_DATETIME,UPDATE_METHOD,UPDATE_DATETIME
77211,2,11567,step03,2026-07-15T22:18:56.960,step05,2026-07-15T22:18:58.892
77212,2,11567,step03,2026-07-15T22:18:56.960,step05,2026-07-15T22:18:58.892
77213,2,11567,step03,2026-07-15T22:18:56.960,step05,2026-07-15T22:18:58.892
77214,2,11567,step03,2026-07-15T22:18:56.960,step05,2026-07-15T22:18:58.892
77242,2,11567,step03,2026-07-15T22:18:56.960,step05,2026-07-15T22:18:58.892
77243,2,11567,step03,2026-07-15T22:18:56.960,step05,2026-07-15T22:18:58.892
77244,2,11567,step03,2026-07-15T22:18:56.960,step05,2026-07-15T22:18:58.892
77245,2,11567,step03,2026-07-15T22:18:56.960,step05,2026-07-15T22:18:58.892
77273,2,11567,step03,2026-07-15T22:18:56.960,step05,2026-07-15T22:18:58.892
77274,2,11567,step03,2026-07-15T22:18:56.960,step05,2026-07-15T22:18:58.892
77275,2,11567,step03,2026-07-15T22:18:56.960,step05,2026-07-15T22:18:58.892
77276,2,11567,step03,2026-07-15T22:18:56.960,step05,2026-07-15T22:18:58.892
77304,1,10049,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77304,2,10050,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77304,3,10051,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77304,4,10052,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77304,5,10053,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77304,6,10054,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77305,1,10049,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77305,2,10050,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77305,3,10051,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77305,4,10052,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77305,5,10053,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77305,6,10054,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77306,1,10049,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77306,2,10050,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77306,3,10051,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77306,4,10052,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77306,5,10053,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77306,6,10054,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77307,1,10049,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77307,2,10050,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77307,3,10051,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77307,4,10052,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77307,5,10053,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77307,6,10054,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77335,1,10049,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77335,2,10050,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77335,3,10051,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77335,4,10052,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77335,5,10053,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
77335,6,10054,step03,2026-07-15T22:18:56.960,step07,2026-07-15T22:19:00.590
