CHARACTER_PK,USER_ID,CHARACTER_NO,CHARACTER_NAME,CREATE_METHOD,CREATE_DATETIME,UPDATE_METHOD,UPDATE_DATETIME
77211,U0001,1,CHAR0001-1,step03,2026-07-15T22:18:56.466,step05,2026-07-15T22:18:58.892
77212,U0001,2,CHAR0001-2,step03,2026-07-15T22:18:56.466,step05,2026-07-15T22:18:58.892
77213,U0001,3,CHAR0001-3,step03,2026-07-15T22:18:56.466,step05,2026-07-15T22:18:58.892
77214,U0001,4,CHAR0001-4,step03,2026-07-15T22:18:56.466,step05,2026-07-15T22:18:58.892
77242,U0002,1,CHAR0002-1,step03,2026-07-15T22:18:56.466,step05,2026-07-15T22:18:58.892
77243,U0002,2,CHAR0002-2,step03,2026-07-15T22:18:56.466,step05,2026-07-15T22:18:58.892
77244,U0002,3,CHAR0002-3,step03,2026-07-15T22:18:56.466,step05,2026-07-15T22:18:58.892
77245,U0002,4,CHAR0002-4,step03,2026-07-15T22:18:56.466,step05,2026-07-15T22:18:58.892
77273,U0003,1,CHAR0003-1,step03,2026-07-15T22:18:56.466,step05,2026-07-15T22:18:58.892
77274,U0003,2,CHAR0003-2,step03,2026-07-15T22:18:56.466,step05,2026-07-15T22:18:58.892
77275,U0003,3,CHAR0003-3,step03,2026-07-15T22:18:56.466,step05,2026-07-15T22:18:58.892
77276,U0003,4,CHAR0003-4,step03,2026-07-15T22:18:56.466,step05,2026-07-15T22:18:58.892
77304,U0004,1,CHAR0004-1,step03,2026-07-15T22:18:56.466,step07,2026-07-15T22:19:00.590
77305,U0004,2,CHAR0004-2,step03,2026-07-15T22:18:56.466,step07,2026-07-15T22:19:00.590
77306,U0004,3,CHAR0004-3,step03,2026-07-15T22:18:56.466,step07,2026-07-15T22:19:00.590
77307,U0004,4,CHAR0004-4,step03,2026-07-15T22:18:56.466,step07,2026-07-15T22:19:00.590
77335,U0005,1,CHAR0005-1,step03,2026-07-15T22:18:56.466,step07,2026-07-15T22:19:00.590
77336,U0005,2,CHAR0005-2,step03,2026-07-15T22:18:56.466,step07,2026-07-15T22:19:00.590
77337,U0005,3,CHAR0005-3,step03,2026-07-15T22:18:56.466,step07,2026-07-15T22:19:00.590
77338,U0005,4,CHAR0005-4,step03,2026-07-15T22:18:56.466,step07,2026-07-15T22:19:00.590
77366,U0006,1,CHAR0006-1,step03,2026-07-15T22:18:56.466,step07,2026-07-15T22:19:00.590
77367,U0006,2,CHAR0006-2,step03,2026-07-15T22:18:56.466,step07,2026-07-15T22:19:00.590
77368,U0006,3,CHAR0006-3,step03,2026-07-15T22:18:56.466,step07,2026-07-15T22:19:00.590
77369,U0006,4,CHAR0006-4,step03,2026-07-15T22:18:56.466,step07,2026-07-15T22:19:00.590
