CHARACTER_PK,STATUS_TYPE,VALUE,CREATE_METHOD,CREATE_DATETIME,UPDATE_METHOD,UPDATE_DATETIME
77211,HP,0,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77211,MP,1,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77211,SP,2,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77211,STR,13,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77211,VIT,7,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77211,INT,12,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77212,HP,100,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77212,MP,101,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77212,SP,102,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77212,STR,113,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77212,VIT,107,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77212,INT,112,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77213,HP,200,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77213,MP,201,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77213,SP,202,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77213,STR,213,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77213,VIT,207,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77213,INT,212,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77214,HP,300,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77214,MP,301,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77214,SP,302,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77214,STR,313,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77214,VIT,307,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77214,INT,312,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77242,HP,400,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77242,MP,401,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77242,SP,402,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77242,STR,413,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77242,VIT,407,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77242,INT,412,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77243,HP,500,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77243,MP,501,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77243,SP,502,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77243,STR,513,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77243,VIT,507,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77243,INT,512,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77244,HP,600,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77244,MP,601,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77244,SP,602,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77244,STR,613,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77244,VIT,607,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77244,INT,612,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77245,HP,700,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77245,MP,701,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77245,SP,702,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77245,STR,713,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77245,VIT,707,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77245,INT,712,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77273,HP,800,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77273,MP,801,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77273,SP,802,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77273,STR,813,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77273,VIT,807,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77273,INT,812,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77274,HP,900,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77274,MP,901,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77274,SP,902,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77274,STR,913,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77274,VIT,907,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77274,INT,912,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77275,HP,1000,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77275,MP,1001,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77275,SP,1002,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77275,STR,1013,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77275,VIT,1007,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77275,INT,1012,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77276,HP,1100,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77276,MP,1101,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77276,SP,1102,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77276,STR,1113,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77276,VIT,1107,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77276,INT,1112,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77304,HP,1200,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77304,MP,1201,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77304,SP,1202,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77304,STR,1213,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77304,VIT,1207,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77304,INT,1212,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77305,HP,1300,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77305,MP,1301,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77305,SP,1302,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77305,STR,1313,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77305,VIT,1307,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77305,INT,1312,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77306,HP,1400,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77306,MP,1401,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77306,SP,1402,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77306,STR,1413,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77306,VIT,1407,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77306,INT,1412,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77307,HP,1500,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77307,MP,1501,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77307,SP,1502,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77307,STR,1513,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77307,VIT,1507,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77307,INT,1512,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77335,HP,1600,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77335,MP,1601,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77335,SP,1602,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77335,STR,1613,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77335,VIT,1607,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77335,INT,1612,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77336,HP,1700,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77336,MP,1701,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77336,SP,1702,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77336,STR,1713,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77336,VIT,1707,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77336,INT,1712,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77337,HP,1800,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77337,MP,1801,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77337,SP,1802,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77337,STR,1813,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77337,VIT,1807,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77337,INT,1812,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77338,HP,1900,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77338,MP,1901,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77338,SP,1902,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77338,STR,1913,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77338,VIT,1907,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77338,INT,1912,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77366,HP,2000,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77366,MP,2001,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77366,SP,2002,step03,2026-07-15T22:18:56.699,step07,2026-07-15T22:19:00.590
77366,STR,2013,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
77366,VIT,2007,step03,2026-07-15T22:18:56.699,step05,2026-07-15T22:18:58.892
