MAGIC_ID,MAGIC_TYPE_ID,MAGIC_NAME,MAIN_EFFECT,SUB_EFFECT,CREATE_METHOD,CREATE_DATETIME,UPDATE_METHOD,UPDATE_DATETIME
13516,1,MAGIC003-1,earth,,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
13547,2,MAGIC003-2,earth,MP,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
13578,3,MAGIC003-3,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
13609,4,MAGIC003-4,earth,SP,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
13640,5,MAGIC003-5,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
13671,6,MAGIC003-6,earth,STR,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
13702,7,MAGIC003-7,earth,,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
13733,8,MAGIC003-8,earth,VIT,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
13764,9,MAGIC003-9,earth,,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
19328,3,MAGIC004-15,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
19390,5,MAGIC004-17,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
20351,3,MAGIC004-27,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
20413,5,MAGIC004-29,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
21374,3,MAGIC004-39,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
22161,3,MAGIC005-15,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
22223,5,MAGIC005-17,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
23184,3,MAGIC005-27,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
23246,5,MAGIC005-29,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
24207,3,MAGIC005-39,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
36952,3,MAGIC005-3,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
37014,5,MAGIC005-5,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
37698,3,MAGIC006-15,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
37760,5,MAGIC006-17,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
38721,3,MAGIC006-27,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
38783,5,MAGIC006-29,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
39744,3,MAGIC006-39,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
48593,10,MAGIC000-10,frame,DEX,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
48624,11,MAGIC000-11,frame,,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
48655,0,MAGIC000-12,frame,AGI,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
48686,1,MAGIC000-13,frame,,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
48717,2,MAGIC000-14,frame,INT,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
48748,3,MAGIC000-15,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
48779,4,MAGIC000-16,frame,WIS,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
48810,5,MAGIC000-17,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
48841,6,MAGIC000-18,frame,FTN,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
48872,7,MAGIC000-19,frame,,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
49554,8,MAGIC000-20,frame,HP,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
49585,9,MAGIC000-21,frame,,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
49616,10,MAGIC000-22,frame,MP,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
49647,11,MAGIC000-23,frame,,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
49678,0,MAGIC000-24,frame,SP,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
49709,1,MAGIC000-25,frame,,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
49740,2,MAGIC000-26,frame,STR,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
49771,3,MAGIC000-27,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
49802,4,MAGIC000-28,frame,VIT,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
49833,5,MAGIC000-29,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
50515,6,MAGIC000-30,frame,DEX,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
50546,7,MAGIC000-31,frame,,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
50577,8,MAGIC000-32,frame,AGI,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
50608,9,MAGIC000-33,frame,,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
50639,10,MAGIC000-34,frame,INT,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
50670,11,MAGIC000-35,frame,,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
50701,0,MAGIC000-36,frame,WIS,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
50732,1,MAGIC000-37,frame,,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
50763,2,MAGIC000-38,frame,FTN,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
50794,3,MAGIC000-39,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
51476,4,MAGIC000-40,frame,HP,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
53181,1,MAGIC002-1,wind,,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
53212,2,MAGIC002-2,wind,MP,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
53243,3,MAGIC002-3,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
53274,4,MAGIC002-4,wind,SP,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
53305,5,MAGIC002-5,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
53336,6,MAGIC002-6,wind,STR,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
53367,7,MAGIC002-7,wind,,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
53398,8,MAGIC002-8,wind,VIT,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
53429,9,MAGIC002-9,wind,,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
57695,1,MAGIC000-1,frame,,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
57726,2,MAGIC000-2,frame,MP,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
57757,3,MAGIC000-3,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
57788,4,MAGIC000-4,frame,SP,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
57819,5,MAGIC000-5,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
57850,6,MAGIC000-6,frame,STR,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
57881,7,MAGIC000-7,frame,,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
57912,8,MAGIC000-8,frame,VIT,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
57943,9,MAGIC000-9,frame,,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
63913,3,MAGIC004-3,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
63975,5,MAGIC004-5,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
75266,10,MAGIC001-10,water,DEX,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
75297,11,MAGIC001-11,water,,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
75328,0,MAGIC001-12,water,AGI,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
75359,1,MAGIC001-13,water,,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
75390,2,MAGIC001-14,water,INT,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
75421,3,MAGIC001-15,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
75452,4,MAGIC001-16,water,WIS,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
75483,5,MAGIC001-17,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
75514,6,MAGIC001-18,water,FTN,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
75545,7,MAGIC001-19,water,,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
76227,8,MAGIC001-20,water,HP,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
76258,9,MAGIC001-21,water,,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
76289,10,MAGIC001-22,water,MP,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
76320,11,MAGIC001-23,water,,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
76351,0,MAGIC001-24,water,SP,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
76382,1,MAGIC001-25,water,,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
76413,2,MAGIC001-26,water,STR,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
76444,3,MAGIC001-27,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
76475,4,MAGIC001-28,water,VIT,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
76506,5,MAGIC001-29,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
77188,6,MAGIC001-30,water,DEX,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
77219,7,MAGIC001-31,water,,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
77250,8,MAGIC001-32,water,AGI,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
77281,9,MAGIC001-33,water,,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
77312,10,MAGIC001-34,water,INT,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
77343,11,MAGIC001-35,water,,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
77374,0,MAGIC001-36,water,WIS,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
77405,1,MAGIC001-37,water,,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
77436,2,MAGIC001-38,water,FTN,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
77467,3,MAGIC001-39,nihil,all status,step03,2026-07-15T22:18:56.620,step05,2026-07-15T22:18:58.892
78149,4,MAGIC001-40,water,HP,step03,2026-07-15T22:18:56.620,step07,2026-07-15T22:19:00.590
